NDC_PACKAGE_CODE,DRUG_BRAND_NAME,DRUG_GENERIC_NAME
13517013001,trezix,acetaminophen_caffeine_dihydrocodeine_bitartrate
17772010115,trokendi,topiramate
17478040401,ful-glo,fluorescein_sodium
18860010210,fazaclo,clozapine
18860010501,fazaclo,clozapine
23710090101,reprexain,hydrocodone_bitartrate_ibuprofen
24090068188,primlev,oxycodone_hydrochloride_acetaminophen
24338010620,erythrocin_stearate,erythromycin_stearate
27437010706,antara,fenofibrate_micronized
30698041912,equetro,carbamazepine
42023012306,dantrium,dantrolene_sodium
42023012501,dantrium,dantrolene_sodium
17314850201,ditropan_xl,oxybutynin_chloride
24090068379,primlev,oxycodone_hydrochloride_acetaminophen
25208020109,zypitamag,pitavastatin_magnesium
42858076001,ms_contin,morphine_sulfate
43063022514,primaquine,primaquine_phosphate
43063024630,oxycontin,oxycodone_hydrochloride
46987032911,kadian,morphine_sulfate
50242008203,lucentis,ranibizumab
50458033001,risperdal,risperidone
51672211602,feverall,acetaminophen
52544015376,trelstar_depot,triptorelin_pamoate
55289056915,lyrica,pregabalin
55289081530,diovan_hct,valsartan_hydrochlorothiazide
17772010215,trokendi,topiramate
23594020501,aciphex_sprinkle,rabeprazole_sodium
43063011303,levaquin,levofloxacin
49411005030,amicar,aminocaproic_acid
49483022206,nitro-time,nitroglycerin
50419034610,ultravist,iopromide
50458057890,xarelto,rivaroxaban
50458086101,nucynta_er,tapentadol
50474047066,briviact,brivaracetam
51079094601,digitek,digoxin
52856050101,emflaza,deflazacort
54092017030,fareston,toremifene_citrate
55289001430,lunesta,eszopiclone
55289002120,biaxin,clarithromycin
55289021430,lyrica,pregabalin
55289037210,ceftin,cefuroxime_axetil
55289045342,daypro,oxaprozin
55289054210,ceftin,cefuroxime_axetil
55289057840,soma,carisoprodol
58864003410,levaquin,levofloxacin
58864060830,lipitor,atorvastatin_calcium
60346035544,pepcid,famotidine
62559016501,reglan,metoclopramide_hydrochloride
49771000201,mitosol,mitomycin
55289051930,risperdal,risperidone
57894015012,zytiga,abiraterone_acetate
59011010925,oxycontin,oxycodone_hydrochloride
59148002150,samsca,tolvaptan
59630057460,fortamet,metformin_hydrochloride
52544003960,kadian,morphine_sulfate
55289097590,concerta,methylphenidate_hydrochloride
62856070430,lenvima,lenvatinib
27437020513,suprax,cefixime
27505011030,xadago,safinamide
50419025403,adempas,riociguat
50458064165,topamax,topiramate
51817062216,fluor-a-day,sodium_fluoride
61958100101,ranexa,ranolazine
24510023260,nucynta_er,tapentadol
30698003201,marplan,isocarboxazid
42858079901,ms_contin,morphine_sulfate
43376021010,zohydro,hydrocodone_bitartrate
46987037711,kadian,morphine_sulfate
49884022301,haldol,haloperidol
50458058030,xarelto,rivaroxaban
50458064765,topamax_sprinkle,topiramate
50474060025,dipentum,olsalazine_sodium
51021091090,xylon_10,hydrocodone_bitartrate_ibuprofen
52544095701,fioricet,butalbital_acetaminophen_caffeine
52609000105,alkeran,melphalan
53014059307,metadate_er,methylphenidate_hydrochloride
55289011515,flexeril,cyclobenzaprine_hydrochloride
55289037106,cipro,ciprofloxacin_hydrochloride
55289039630,estrace,estradiol
55289040720,lorcet,hydrocodone_bitartrate_acetaminophen
55289047560,celebrex,celecoxib
55289058430,cardura,doxazosin_mesylate
55289098130,lotrel,amlodipine_besylate_benazepril_hydrochloride
55515025911,monodox,doxycycline_monohydrate
57896030301,stool_softener_with_laxative,docusate_sodium_sennosides
58864060130,protonix,pantoprazole_sodium
58864096230,geodon,ziprasidone_hydrochloride
58914050156,canasa,mesalamine
59011026105,ms_contin,morphine_sulfate
59011045401,dilaudid,hydromorphone_hydrochloride
59630017010,zebutal,butalbital_acetaminophen_caffeine
59630032010,doribax,doripenem
59630070114,orapred_odt,prednisolone_sodium_phosphate
59702068201,primlev,oxycodone_hydrochloride_acetaminophen
60505001004,dilt-cd,diltiazem_hydrochloride
60951071270,endocet,oxycodone_hydrochloride_acetaminophen
62037069490,matzim_la,diltiazem_hydrochloride
50242013001,alecensa,alectinib
50458039860,razadyne,galantamine_hydrobromide
50458065330,ultram_er,tramadol_hydrochloride
51672211502,feverall,acetaminophen
52725049090,fenoglide,fenofibrate
54092037601,adderall,amphetamine_aspartate_amphetamine_sulfate_dextroamphetamine_saccharate_dextroamphetamine_sulfate
54391032502,calci-chew,calcium
55289011906,compro,prochlorperazine
55289029050,procardia,nifedipine
55289037930,adipex-p,phentermine_hydrochloride
55289071114,levaquin,levofloxacin
55289097330,tricor,fenofibrate
55289098930,singulair,montelukast_sodium
55289014030,ibu,ibuprofen
55289042040,naprosyn,naproxen
55513048824,lumakras,sotorasib
57896068110,aller-g-time,diphenhydramine_hydrochloride
58864065830,singulair,montelukast_sodium
59572050400,pomalyst,pomalidomide
61570007901,tigan,trimethobenzamide_hydrochloride
55111011379,zenatane,isotretinoin
59011026005,ms_contin,morphine_sulfate
59011026410,ms_contin,morphine_sulfate
60505366403,paxil,paroxetine_hydrochloride
62037059705,cartia_xt,diltiazem_hydrochloride
62794046005,maxzide,triamterene_hydrochlorothiazide
62794061288,amnesteem,isotretinoin
62935045245,eligard,leuprolide_acetate
63020040001,ninlaro,ixazomib
63102040160,acticon_cold_&_allergy,dexbrompheniramine_maleate_pseudoephedrine_hydrochloride
63481062225,percocet,oxycodone_hydrochloride_acetaminophen
63481081620,opana,oxymorphone_hydrochloride
50458057701,xarelto,rivaroxaban
51672211704,feverall,acetaminophen
55289042015,naprosyn,naproxen
55289092230,wellbutrin_xl,bupropion_hydrochloride
55289093730,namenda,memantine
55289075930,ponstel,mefenamic_acid
59212024255,lanoxin,digoxin
61958150402,sovaldi,sofosbuvir
62559064330,atacand,candesartan_cilexetil
54531010001,minocin,minocycline_hydrochloride
55289073621,skelaxin,metaxalone
55289091414,macrodantin,nitrofurantoin_macrocrystalline
55566840101,firmagon,degarelix
57706075323,diamox_sequels,acetazolamide
57881044401,zuplenz,ondansetron
58016075300,gabitril,tiagabine_hydrochloride
58468002103,renagel,sevelamer_hydrochloride
58864070330,clarinex,desloratadine
59148000735,abilify,aripiprazole
59630076010,methylin,methylphenidate_hydrochloride
59676056301,prezista,darunavir
